證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"3653","健策","1640626","616467463","378.00","381.50","370.50","374.50","2.0000","1502"
"3661","世芯-KY","6971558","4509880771","648.00","659.00","635.00","641.00","3.0000","7212"
"3665","貿聯-KY","2022943","634194744","308.00","316.00","306.50","315.00","8.5000","1718"
"3669","圓展","59555","2485082","41.95","41.95","41.50","41.95","0.8000","48"
"3673","TPK-KY","687917","23519883","33.75","34.35","33.75","34.35","0.8500","436"
"3679","新至陞","200779","16006818","81.30","81.80","78.30","79.50","-0.5000","307"
"3682","亞太電","2665141","18245661","6.85","6.88","6.81","6.88","0.0300","653"
"3686","達能","206360","2398453","11.40","11.80","11.40","11.60","0.2000","155"
"3694","海華","78000","1426700","18.10","18.50","18.10","18.45","0.3500","59"
"3701","大眾控","483945","20396681","41.60","42.60","41.60","42.30","1.2500","367"
"3702","大聯大","2806445","141845087","50.00","51.00","49.90","50.70","0.7500","1804"
"3702A","大聯大甲特","119100","5737635","48.20","48.25","48.15","48.15","0.0000","33"
"3703","欣陸","1377321","41344498","29.75","30.40","29.75","29.90","0.3500","694"
"3704","合勤控","4153104","129449615","31.10","31.50","30.95","31.15","-0.2000","2339"
"3705","永信","91927","3728197","40.40","40.70","40.40","40.70","0.5000","101"
"3706","神達","2423148","68464115","28.00","28.40","28.00","28.30","0.3000","1215"
"3708","上緯投控","817694","85073067","104.00","105.00","103.00","104.00","1.5000","702"
"3711","日月光投控","7221452","635789368","88.30","88.50","87.50","88.20","0.8000","6314"
"3712","永崴投控","164210","4477683","26.90","27.45","26.90","27.45","0.7500","119"
"3714","富采","4279678","205781031","47.60","48.35","47.60","48.35","0.8500","2267"
"4104","佳醫","137361","8834913","64.40","64.50","64.10","64.40","0.4000","173"
"4106","雃博","262449","6361849","23.80","24.45","23.80","24.30","0.5500","206"
"4108","懷特","120990","2201048","18.20","18.30","18.10","18.15","0.1500","118"
"4119","旭富","64475","5180625","79.80","80.80","79.80","80.40","0.6000","87"
"4133","亞諾法","697700","24584500","34.45","35.55","34.45","35.55","1.1000","569"
"4137","麗豐-KY","87582","15549176","177.50","178.50","176.00","178.00","1.0000","99"
"4142","國光生","2714355","99064665","35.95","36.95","35.75","36.80","1.0000","1372"
"4148","全宇生技-KY","1229987","75995421","60.40","63.30","60.40","61.00","0.6000","931"
"4155","訊映","107545","2457548","22.75","23.00","22.70","22.70","0.3000","101"
"4164","承業醫","167777","6144602","35.70","36.90","35.70","36.80","0.8500","132"
"4190","佐登-KY","17000","1158600","68.50","68.70","67.90","67.90","-0.2000","11"
"4306","炎洲","272048","3792965","13.95","14.00","13.90","13.95","0.1000","165"
"4414","如興","13620560","34781930","2.22","2.61","2.22","2.61","0.2300","1421"
"4426","利勤","1680562","46952302","27.90","28.40","27.40","28.15","0.8500","1171"
"4438","廣越","86372","9784522","110.00","116.00","110.00","114.50","5.5000","83"
"4439","冠星-KY","17219","1968185","113.00","115.00","113.00","115.00","4.0000","19"
"4440","宜新實業","51778","1694464","32.60","33.05","32.60","33.00","0.4000","41"
"4526","東台","123585","1687353","13.65","13.70","13.60","13.60","0.0500","120"
"4532","瑞智","185850","3093608","16.50","16.75","16.50","16.65","0.1500","104"
"4536","拓凱","174353","25028929","142.00","144.50","142.00","144.00","3.0000","137"
"4540","全球傳動","47044","2050192","43.00","44.20","42.85","44.20","1.2000","43"
"4545","銘鈺","49000","1365850","27.80","28.40","27.60","28.20","0.4000","41"
"4551","智伸科","482036","77647722","162.50","164.50","159.50","159.50","-1.5000","419"
"4552","力達-KY","46233","1349603","28.90","29.25","28.90","29.20","0.3000","31"
"4555","氣立","21201","1202656","56.50","57.10","56.40","57.00","0.6000","18"
"4557","永新-KY","417422","37226888","88.70","90.90","87.70","90.30","1.7000","295"
"4560","強信-KY","71000","2836150","39.90","40.20","39.75","40.00","0.1000","42"
"4562","穎漢","185070","2844217","15.45","15.55","15.25","15.55","0.2500","122"
"4564","元翎","88494","2418761","27.00","27.45","27.00","27.40","0.4000","65"
"4566","時碩工業","464191","24238898","52.80","53.20","51.10","51.60","-0.4000","333"
"4571","鈞興-KY","21000","1602800","76.30","76.50","76.20","76.50","0.2000","18"
"4572","駐龍","330659","42506058","128.50","130.00","127.50","127.50","1.5000","289"
"4576","大銀微系統","20051","1766982","88.20","88.80","87.60","88.20","0.9000","19"
"4581","光隆精密-KY","1002","32364","32.30","32.30","32.30","32.30","0.3000","2"
"4583","台灣精銳","26013","5488282","205.50","214.50","205.50","211.00","5.5000","27"
"4720","德淵","122062","1672446","13.60","13.75","13.55","13.75","0.2000","69"
"4722","國精化","20067","730848","36.50","36.55","36.30","36.45","0.5500","21"
"4737","華廣","24076","1784132","74.00","74.40","73.60","74.10","0.1000","47"
"4739","康普","1997559","236018303","117.50","119.50","117.50","118.00","0.5000","1499"
"4746","台耀","191203","8681463","45.05","45.85","45.00","45.60","1.0000","127"
"4755","三福化","1106829","158237468","143.50","144.00","142.00","144.00","4.0000","936"
"4763","材料-KY","79020","8306216","103.50","106.00","103.50","106.00","2.5000","75"
"4764","雙鍵","11260","612061","55.10","55.10","54.00","54.20","0.0000","13"
"4766","南寶","58746","7582478","129.00","130.00","128.50","130.00","1.0000","78"
"4770","上品","152479","38749170","250.50","255.50","250.50","255.00","5.5000","142"
"4807","日成-KY","8030","173560","21.50","21.70","21.50","21.70","0.0000","14"
"4904","遠傳","3841543","290400515","76.30","76.30","75.20","75.60","0.0000","2060"
"4906","正文","4114852","120724020","29.25","29.75","29.05","29.15","-0.3500","2348"
"4912","聯德控股-KY","90111","10070375","109.50","113.00","109.50","112.00","3.0000","76"
"4915","致伸","5099307","354597029","69.90","70.00","69.00","69.70","0.7000","3467"
"4916","事欣科","4377841","122943357","27.40","28.45","27.30","28.45","2.5500","2070"
"4919","新唐","14816090","1655963900","109.50","114.00","109.50","114.00","7.5000","9935"
"4927","泰鼎-KY","1266495","71389860","55.80","57.30","55.40","56.70","1.0000","782"
"4930","燦星網","152620","3725510","23.65","25.15","23.65","25.15","1.5000","127"
"4934","太極","837674","22414072","26.30","26.95","26.30","26.75","0.8500","577"
"4935","茂林-KY","28564","1572208","55.00","55.30","54.70","55.10","0.5000","35"
"4938","和碩","6536931","405865760","62.60","62.80","61.60","62.00","-1.0000","4028"
"4942","嘉彰","138309","5337888","38.65","38.90","38.40","38.60","0.2000","111"
"4943","康控-KY","222546","3544746","15.90","16.25","15.70","16.00","0.2000","135"
"4952","凌通","1121934","69154381","60.60","62.00","60.60","61.90","1.6000","801"
"4956","光鋐","444177","7510596","16.25","17.50","16.25","16.90","0.8000","315"
"4958","臻鼎-KY","2646676","299925916","112.00","114.00","112.00","113.50","2.0000","1730"
"4960","誠美材","4575721","43409847","9.28","9.65","9.26","9.43","0.3200","1678"
"4961","天鈺","3173260","335864820","106.00","107.50","105.00","105.00","0.5000","2301"
"4967","十銓","242285","6741642","27.65","28.15","27.40","28.05","1.1000","199"
"4968","立積","1603536","221122939","135.00","140.00","134.50","138.00","4.5000","1607"
"4976","佳凌","732526","30432761","40.85","41.95","40.85","41.75","1.4000","706"
"4977","眾達-KY","258152","21112778","78.90","84.00","78.40","82.30","4.8000","250"
"4989","榮科","161618","4253151","26.00","26.45","26.00","26.35","0.4500","108"
"4994","傳奇","38195","1548493","40.10","40.90","40.10","40.40","0.7500","40"
"4999","鑫禾","181359","6578574","36.50","36.50","36.00","36.15","0.8500","124"
"5007","三星","21000","1132000","53.50","54.10","53.50","53.80","0.4000","19"
"5203","訊連","32410","2881330","89.00","89.10","88.50","89.10","0.7000","33"
"5215","科嘉-KY","37269","1533515","41.05","41.60","40.95","41.10","0.3500","46"
"5222","全訊","490172","64312261","132.50","133.00","130.00","131.50","1.0000","353"
"5225","東科-KY","25000","521700","21.00","21.00","20.65","20.85","0.2000","20"
"5234","達興材料","741323","49387482","66.70","67.00","66.00","66.50","-0.1000","591"
"5243","乙盛-KY","1238046","82917642","67.00","67.40","66.50","66.80","0.8000","1061"
"5244","弘凱","38055","1055586","26.90","28.10","26.90","28.00","0.7500","31"
"5258","虹堡","36006133","2346561973","61.50","66.60","61.20","65.60","5.0000","20050"
"5269","祥碩","419557","408021494","973.00","988.00","956.00","961.00","-6.0000","704"
"5283","禾聯碩","17486","1814592","103.50","104.00","103.50","104.00","1.0000","33"
"5284","jpp-KY","350919","17622625","50.80","51.20","49.45","50.50","0.6000","285"
"5285","界霖","302910","24580953","79.60","81.70","79.60","81.50","2.4000","258"
"5288","豐祥-KY","54000","8039500","149.50","150.00","147.00","149.50","3.0000","48"
"5306","桂盟","83531","12679564","148.50","153.50","148.50","153.00","4.5000","166"
"5388","中磊","8835226","802400660","89.70","92.00","89.10","92.00","2.3000","6424"
"5434","崇越","234556","36582051","154.50","157.50","154.50","157.00","3.0000","314"
"5469","瀚宇博","1509388","48032789","31.55","32.05","31.55","31.90","0.5000","758"
"5471","松翰","181263","10282948","56.00","57.20","56.00","56.80","0.9000","324"
"5484","慧友","310971","4450818","14.45","14.70","13.80","14.25","0.1000","247"
"5515","建國","51600","634247","12.20","12.35","12.20","12.35","0.2000","57"
"5519","隆大","1373819","30948817","22.35","22.65","22.35","22.65","0.3000","690"
"5521","工信","183662","1255930","6.82","6.86","6.81","6.85","0.0900","212"
"5522","遠雄","273839","17537864","64.00","64.50","63.50","63.60","-0.4000","436"
"5525","順天","21000","496150","23.60","23.80","23.55","23.60","0.0500","18"
"5531","鄉林","195672","1796048","9.17","9.25","9.13","9.19","0.0600","148"
"5533","皇鼎","424538","7536823","17.65","17.90","17.65","17.80","0.2500","193"
"5534","長虹","100701","7367460","72.90","73.30","72.90","73.30","0.5000","121"
"5538","東明-KY","9000","390150","43.80","43.80","43.10","43.45","0.4500","9"
"5546","永固-KY","15000","808600","53.90","54.00","53.90","53.90","0.4000","10"
"5607","遠雄港","796179","38859093","48.50","49.75","47.60","49.75","3.1000","514"
"5608","四維航","3349261","101799012","30.30","30.70","30.15","30.50","0.6500","1866"
"5706","鳳凰","1517398","91472027","58.80","61.70","58.80","60.20","1.5000","1070"
"5871","中租-KY","3898728","832445925","208.00","216.00","207.50","216.00","11.5000","3643"
"5871A","中租-KY甲特","32019","3179886","99.40","99.40","99.30","99.40","0.0000","12"
"5876","上海商銀","3668745","186657478","50.50","51.10","50.10","51.10","1.2000","1423"
"5880","合庫金","15141471","417723845","27.35","27.70","27.35","27.65","0.3000","4599"
"5906","台南-KY","3480","113352","32.60","32.60","32.60","32.60","0.2000","4"
"5907","大洋-KY","21378","315044","14.95","14.95","14.65","14.85","0.0500","20"
"6005","群益證","2581863","29488162","11.35","11.50","11.30","11.50","0.3500","825"
"6024","群益期","60545","2127894","35.00","35.45","35.00","35.30","0.3000","86"
"6108","競國","61440","1053009","17.20","17.25","17.10","17.15","0.2500","57"
"6112","聚碩","59468","2023763","34.00","34.15","34.00","34.00","0.3000","59"
"6115","鎰勝","70153","2878686","40.90","41.10","40.90","40.95","0.1000","77"
"6116","彩晶","6550488","65973010","10.00","10.15","10.00","10.10","0.1000","2010"
"6117","迎廣","8113","122611","15.25","15.25","15.00","15.10","0.0500","35"
"6120","達運","1658867","16631893","9.80","10.15","9.80","10.05","0.3200","691"
"6128","上福","81026","2375697","29.25","29.45","29.25","29.40","0.3500","48"
"6133","金橋","5922451","147377470","25.85","25.85","24.50","24.85","-1.0500","3395"
"6136","富爾特","57985","1016081","17.50","17.60","17.45","17.55","0.1500","71"
"6139","亞翔","507542","15869091","30.80","31.45","30.80","31.35","0.5500","288"
"6141","柏承","50600","1150746","22.35","23.00","22.35","22.90","0.1500","37"
"6142","友勁","681262","6044353","8.83","9.01","8.80","8.88","0.0500","208"
"6152","百一","617439","6702504","10.75","10.95","10.75","10.90","0.2000","266"
"6153","嘉聯益","1149304","25951708","22.40","22.75","22.15","22.60","0.6500","573"
"6155","鈞寶","58475","1230535","20.80","21.25","20.80","21.25","0.5000","54"
"6164","華興","1642602","19753056","11.20","12.15","11.20","12.15","1.1000","611"
"6165","浪凡","69132","1969838","29.15","29.15","28.00","28.30","0.4000","78"
"6166","凌華","754689","44762174","57.90","61.50","57.00","58.60","2.0000","573"
"6168","宏齊","497128","9615003","19.10","19.40","19.10","19.40","0.5000","283"
"6176","瑞儀","1566976","148269943","93.80","95.00","93.70","94.60","1.6000","1656"
"6177","達麗","200658","5411193","26.90","27.10","26.90","26.95","0.1000","138"
"6183","關貿","55951","3353402","60.10","60.70","59.60","59.90","0.3000","60"
"6184","大豐電","15480","751735","48.50","48.70","48.50","48.55","0.3500","12"
"6189","豐藝","234464","9015860","38.10","38.70","38.10","38.70","0.6000","184"
"6191","精成科","1800324","53031047","29.45","29.75","29.30","29.40","0.3500","881"
"6192","巨路","73197","4948687","68.40","68.40","67.40","67.80","0.3000","73"
"6196","帆宣","367752","40707034","109.50","112.00","109.50","110.50","2.0000","335"
"6197","佳必琪","254392","9404987","37.30","37.70","36.70","36.85","0.7000","188"
"6201","亞弘電","34000","1352900","39.30","39.95","39.30","39.75","0.6000","30"
"6202","盛群","1520522","123423353","79.90","81.80","79.90","81.50","1.7000","1254"
"6205","詮欣","2495946","183318396","71.10","74.70","71.00","74.40","3.4000","1331"
"6206","飛捷","12123795","1174813135","97.80","99.00","93.90","97.30","1.8000","10079"
"6209","今國光","200107","5778114","28.45","29.00","28.45","29.00","1.0000","152"
"6213","聯茂","2914269","179840893","62.00","62.70","61.10","61.40","0.0000","2256"
"6214","精誠","127086","9133667","71.50","72.20","71.20","72.20","0.7000","130"
"6215","和椿","100146","2243770","22.20","22.50","22.20","22.40","0.3500","91"
"6216","居易","2783341","89515916","31.40","32.85","31.40","32.10","1.0500","1576"
"6224","聚鼎","131694","8498059","64.00","65.10","64.00","64.00","0.6000","135"
"6225","天瀚","122802","1095530","8.21","9.02","8.21","9.02","0.8200","35"
"6226","光鼎","2659263","36137521","13.05","13.80","13.05","13.70","0.7000","1187"
"6230","尼得科超眾","16148","1694796","105.00","105.50","104.50","104.50","-0.5000","23"
"6235","華孚","9619726","377469211","37.85","40.00","37.85","39.70","2.0500","5537"
"6239","力成","1800333","154412245","85.00","86.30","84.90","86.00","1.2000","1244"
"6243","迅杰","141483","4352884","30.20","31.15","30.20","30.90","1.0000","198"
"6251","定穎","2558494","50880837","19.60","20.10","19.60","19.90","0.7000","1141"
"6257","矽格","2340867","115616398","49.15","49.60","49.15","49.35","0.5500","1502"
"6269","台郡","1579687","146223801","93.80","94.20","91.80","91.80","-0.7000","3286"
"6271","同欣電","985868","191000575","191.00","195.00","190.50","195.00","7.5000","984"
"6277","宏正","47870","3638134","75.30","77.00","75.30","76.60","1.7000","45"
"6278","台表科","2777201","241569113","84.40","88.50","84.40","87.60","3.9000","1927"
"6281","全國電","81963","6618220","80.70","81.00","80.50","80.80","0.1000","77"
"6282","康舒","3669642","110276602","29.90","30.35","29.90","29.95","0.0500","2385"
"6283","淳安","231482","7090075","30.25","31.10","30.20","30.50","1.0500","159"
"6285","啟碁","20965392","1633919970","76.60","79.60","75.70","79.00","2.8000","12160"
"6288","聯嘉","492070","11111237","22.35","22.80","22.35","22.50","0.0500","327"
"6289","華上","74387","192087","2.52","2.70","2.52","2.54","0.0100","47"
"6405","悅城","23008","473314","20.45","20.75","20.45","20.75","0.4500","23"
